title_spanish,tconst,actors,director,writter
Loving Vincent,tt3262342,"nm3150488,nm3917744,nm0247237",nm3699790,nm3699790
Un lobo como yo,tt14452228,"nm0279545,nm1265802,nm6319571",,nm0287082
Bailando (Step Up),tt0462590,"nm1475594,nm1564087,nm1690482",nm0281945,nm0012137
Problemas de mujeres,tt1247704,"nm0001303,nm1597316,nm0537619",nm0349406,nm0349406
SLAY,tt31629757,"nm8788761,nm11425378,nm11425376",nm3345300,nm3345300
Sobre ruedas,tt1699748,"nm0609845,nm0000538,nm2029984",,nm0311020
Bridget Jones: Sobreviviré,tt0317198,"nm0000250,nm0428121,nm0000980",nm0452319,nm0276144
Al servicio del Reich,tt15460742,"nm4730834,nm6143475,nm2419848",nm0477187,nm0477187
La autopsia de Jane Doe,tt3289956,"nm0004051,nm0386472,nm1166041",nm0004217,nm1968372
Atasco,tt31713273,"nm2725254,nm1518128,nm0749715",,nm1924019
El Profesor,tt6468322,"nm2216549,nm1486647,nm1523587",,nm1210565
Chuck,tt0934814,"nm1157048,nm2088803,nm1382427",,nm1776338
El robo del siglo,tt10948718,"nm0289856,nm0673391,nm0527045",nm1033668,nm1409139
"Las aventuras de Priscilla, reina del desierto",tt0109045,"nm0915989,nm0001602,nm0000654",nm0254632,nm0254632
Nine Perfect Strangers,tt8760932,"nm0000173,nm0565250,nm0788335",,nm3890871
Rebelde,tt0414766,"nm0555902,nm1670509,nm1270781",,nm1298604
Sneaky Pete,tt5011816,"nm0000610,nm1677477,nm0574460",,nm0186505
Morbius,tt5108870,"nm0001467,nm1741002,nm5245722",nm1174251,nm1948885
Nochebuena,tt16992590,"nm2062531,nm3433552,nm6831138",nm2541656,nm13288467
Coyote Cage,tt15268036,"nm2254185,nm8586446,nm6649566",nm5462014,nm1438682
No hay días fáciles,tt4102726,"nm0112492,nm1792652,nm0389581",,nm1792652
¿Bailamos?,tt0358135,"nm0000152,nm0000182,nm0000215",nm0155093,nm0839397
"Ayla, la hija de la guerra",tt6316138,"nm1002038,nm1385304,nm2349707",nm8631915,nm2320774
Contra reloj,tt0306685,"nm0001472,nm0229422,nm0026364",nm0005647,nm1016088
Bram Stoker's Van Helsing,tt13304948,"nm4393029,nm6516476,nm6021507",nm1497680,nm15390768
Ocho apellidos catalanes,tt3626742,"nm3657043,nm0253216,nm1197737",nm0554880,nm1141070
[REC],tt1038988,"nm0892299,nm0970337,nm1970851",nm0049371,nm0049371
En un barrio de Nueva York,tt1321510,"nm6588867,nm4574440,nm6051155",nm0160840,nm3730005
The Village,tt0368447,"nm0397171,nm0001618,nm0004778",nm0796117,nm0796117
Carnival Row,tt0489974,"nm0089217,nm5353321,nm0564402",,nm2012438
La fiesta de las salchichas: Comidatopía,tt23036426,"nm0736622,nm1325419,nm0001570",,nm1698571
Cazadoras de aliens,tt9050310,"nm10943608,nm10943609,nm11890317",nm3451430,nm3451430
Veneno,tt10383046,"nm11205691,nm11145770,nm9528133",,nm1982169
Concursante,tt0447907,"nm0768614,nm0503443,nm1067496",nm0181579,nm0181579
Entrenador Prime,tt0110363,"nm0250180,nm0124079,nm0039226",nm0770650,nm0683912
"Sapo, S.A. Memorias de un ladrón",tt21319534,"nm13861113,nm13861118,nm13861119",,
Con quién viajas,tt11645056,"nm1892699,nm1308063,nm2863907",nm2826449,nm2826449
La vida precoz y breve de Sabina Rivas,tt2062575,"nm1370408,nm1728699,nm3775871",nm0001502,nm1671956
El hombre tranquilo,tt0045061,"nm0000078,nm0000058,nm0280178",nm0000406,nm0637793
Dawson's Creek,tt0118300,"nm0004735,nm0005017,nm0931329",,nm0932078
Peligro inminente,tt0109444,"nm0000148,nm0000353,nm0000271",nm0637518,nm0002007
Monstrous,tt4624366,"nm0000207,nm8702088,nm0244354",nm1032754,nm0159608
Resident Evil: Bienvenidos a Raccoon City,tt6920084,"nm2546012,nm4789912,nm2064412",nm1266897,nm1266897
Batallas mutantes: La Guerrera Fantasma,tt18413900,"nm10710462,nm8889994,nm11227539",nm9947592,nm15337526
El asesino del nudo,tt6269368,"nm0001518,nm4055138,nm0000526",nm1892658,nm1755986
Te veo,tt6079516,"nm0000166,nm0855103,nm4977122",nm1726691,nm1984458
Dame 10 razones,tt0499603,"nm0000151,nm0891895,nm1706767",nm0797869,nm0797869
Ártico,tt6800294,"nm1763122,nm2273799,nm11523017",,nm1292556
Mulligans,tt1106447,"nm1026161,nm0318744,nm1263747",nm2559612,nm1263747
Un monstruo viene a verme,tt3416532,"nm6484968,nm0000244,nm0428065",nm1291105,nm4710432
Arde!,tt7684260,"nm2285844,nm1346713,nm0000529",,nm1346713
Padre no hay más que uno 3,tt16452664,"nm0782213,nm1071554,nm10469224",nm0782213,nm2125297
Juego de asesinos,tt5748448,"nm0124930,nm0342029,nm6951875",nm0138620,nm4007981
Déjame entrar,tt1139797,"nm2968765,nm2968351,nm0706537",nm0019247,nm0512137
"Serrines, madera de actor",tt27487298,"nm0720277,nm1705638,nm4204540",,nm3048701
Dead Night,tt0063350,"nm0427977,nm0640621,nm0362457",nm0001681,nm0751652
Road Trip (Viaje de pirados),tt0215129,"nm0005227,nm0005405,nm0005442",nm0680846,nm0680846
II,tt17490712,"nm7455038,nm0881631,nm9709536",nm2585406,nm2916300
Spiral: Saw,tt10342730,"nm0001674,nm1540404,nm0000168",nm1135423,nm0831457
El caso Asunta (Operación Nenúfar),tt7979992,"nm11642448,nm11642462,nm11642441",,nm1202178
En el calor de la noche,tt0061811,"nm0001627,nm0001768,nm0643105",nm0422484,nm0798103
El mundo perdido: Jurassic Park,tt0119567,"nm0000156,nm0000194,nm0000592",nm0000229,nm0000341
Las sirenas de Mako,tt2548214,"nm5098626,nm2527305,nm2387231",,nm0793291
A tiempo para Navidad,tt34059852,"nm3099754,nm1176985,nm0117826",nm1624429,nm1590766
El Xef,tt1911553,"nm0000606,nm0949210,nm2454487",nm0169300,nm0169300
The Amazing Spider-Man 2: El poder de Electro,tt1872181,"nm1940449,nm1297015,nm0004937",nm1989536,nm0476064
Titane,tt10944760,"nm0512071,nm5777565,nm4469165",nm4469445,nm4469445
El rascacielos,tt5758778,"nm0425005,nm0000117,nm1977856",nm1098493,nm1098493
Who Killed Cooper Dunn?,tt12960310,"nm1673520,nm4073508,nm3731362",nm1673520,nm1673520
Los buenos profesores,tt21348598,"nm3228320,nm0167388,nm2864046",nm1662707,nm1662707
Cielo Nocturno,tt13361448,"nm0000651,nm0799777,nm5098626",,nm0588479
Aquellos que desean mi muerte,tt3215824,"nm0001401,nm7567974,nm1256532",nm0792263,nm4509289
Freaks,tt0193676,"nm0004802,nm0197855,nm0290556",,nm0082450
Narciso negro,tt0039192,"nm0000039,nm0733460,nm0481966",nm0003836,nm0323869
La trama,tt1235522,"nm0000242,nm0000128,nm0001876",nm0400441,nm3017566
No hay amor desinteresado,tt32981987,"nm1086555,nm10922777,nm12016815",,nm12579353
Olvido,tt19721360,"nm8954229,nm3130504,nm5208328",nm0664194,nm13581613
La herencia,tt16341558,"nm0719278,nm3640220,nm1350281",,nm9864181
The Fearway,tt14992524,"nm8113647,nm1653291,nm1792652",nm1021494,nm12036900
Los reyes magos,tt0400771,"nm0180580,nm0248364,nm0002181",nm0622826,nm1563122
La Noche de los Skinwalkers,tt1093357,"nm0386472,nm1880888,nm1540404",nm0329755,nm3123612
Circuito cerrado,tt0280969,"nm0426206,nm0501210,nm0642485",nm0263009,nm0385241
Misplaced,tt0100158,"nm0511798,nm0593463,nm0194533",nm0946261,nm0946261
La Ola Mexicana,tt5241116,,nm3008668,nm6159883
Traffik,tt5670152,"nm5159424,nm0331577,nm1745736",nm1938064,nm1938064
Cangrejos asesinos,tt4520920,"nm0606637,nm2315359,nm0186060",nm3906778,nm3906778
Los mercen4rios,tt3291150,"nm0005458,nm1265067,nm1083271",nm0915304,nm0934483
Pájaros,tt6386748,"nm0555032,nm9820630,nm0721376",nm5305003,nm8317725
Bridget Jones' Baby,tt1473832,"nm0000250,nm0428121,nm0000980",nm0536632,nm0276144
Tres metros sobre el cielo,tt2263570,"nm0033096,nm1832584,nm2024943",nm3164038,nm3164038
Los pasajeros de la noche,tt1632701,"nm0532683,nm0389069,nm1423048",,nm0466689
A dos metros de ti,tt6472976,"nm4726634,nm0819850,nm2030779",nm1682573,nm5657522
Instituto Voltaire,tt11243112,"nm1731624,nm0582889,nm3426050",,nm3825120
La chica en la niebla,tt0805564,"nm0331516,nm0607865,nm0773973",nm0318916,nm1280672
Lara Croft: Tomb Raider - La cuna de la vida,tt0325703,"nm0001401,nm0124930,nm0001354",nm0000957,nm1212988
Un fantasma en el metro,tt1650043,"nm2325393,nm1256602,nm0006713",nm0101047,nm0007091
Transformers: El lado oscuro de la luna,tt1399103,"nm0479471,nm2492819,nm0241049",nm0000881,nm0472567
Diciembre,tt29804437,"nm1197737,nm1036659,nm2780716",nm6059523,nm6059523
Patriota,tt0187393,"nm0000154,nm0005132,nm0000613",nm0000386,nm0734441
El comisario,tt0198093,"nm0885453,nm0037695,nm0974604",,nm1771556
OSHINOKO,tt31031809,"nm11441054,nm7628256,nm12197582",,nm10493028
Su mejor historia,tt1661275,"nm3510471,nm2605345,nm1197397",nm0771054,nm0262986
Hypnotic,tt8080204,"nm0000255,nm0103797,nm1238555",nm0001675,nm0001675
Las doce pruebas de Astérix,tt0072901,"nm0136789,nm0603600,nm0868139",nm0331453,nm0331453
Humans,tt4122068,"nm1817670,nm2110418,nm6845331",,nm0526620
Madagascar,tt0351283,"nm0001774,nm0001674,nm0001710",nm0201509,nm0123666
Strangers: Capítulo 1,tt22050754,"nm7635170,nm8598157,nm14316067",nm0001317,nm0169180
