title_spanish,tconst,actors,director,writter
Misterios de los guerreros de terracota,tt1091909,"nm0084370,nm0186030,nm1649782",,nm1485610
Space Jam: Nuevas leyendas,tt3554046,"nm1429908,nm0000332,nm9347978",nm0002700,nm1080144
La niebla,tt0067396,"nm0300623,nm0302837,nm0715988",nm0487878,nm0086126
Sevillanas de Brooklyn,tt12300276,"nm3660766,nm7920377,nm2059418",nm1695278,nm6096228
Hitman: Agente 47,tt0465494,"nm0648249,nm0779084,nm1385871",nm1164755,nm0940790
Sin rodeos,tt6981702,"nm0893941,nm0554614,nm1071554",nm0782213,nm5733685
Invencible (Unbroken),tt1809398,"nm1925239,nm1727304,nm1330560",nm0001401,nm0001054
Una Navidad con estilo,tt29392874,"nm4653974,nm1947831,nm2802083",nm0536609,nm15416998
Takagi-san: Experta en bromas pesadas,tt7808344,"nm3615728,nm2569233,nm8787094",,nm2638656
Ni de coña estás invitada a mi bat mitsvá,tt21276878,"nm0579953,nm0864490,nm0001191",nm3852987,nm10645228
Johnny English,tt0274166,"nm0000100,nm0212046,nm0587950",nm0398185,nm0701031
El mundo secreto del sonido con David Attenborough,tt31186319,nm0041003,,nm2020344
Hablando con franqueza,tt26742502,"nm5963347,nm6019624,nm13115752",,nm13935340
Influencer,tt13309170,"nm0855045,nm4920741,nm7888995",nm4811901,nm7479268
Rebel Moon — Part Two: Director’s Cut,tt23137904,"nm1154749,nm0005023,nm4534098",nm0811583,nm0811583
La llamada,tt5176252,"nm3475396,nm1298582,nm3177382",nm1982169,nm1982169
The Roshans,tt31189484,"nm9104851,nm0004335,nm0004363",,
Por trece razones: Más allá de las razones,tt8615966,"nm2647981,nm8210730,nm8898893",,
Estudios de avena,tt16351432,"nm2834049,nm0000244,nm3392525",,nm0088955
Addicted,tt2205401,"nm0462673,nm3057836,nm5386132",nm0937306,nm0920530
Los Chicos No Lloran,tt9797932,"nm4089182,nm0017263,nm4886176",nm2355292,nm3979904
Fast & Furious 5,tt1913023,"nm0108287,nm0004874,nm2933757",nm1939445,nm1939445
El gran halcón,tt0102070,"nm0000246,nm0000732,nm0000510",nm0499724,nm0000246
A por Gotti,tt29333646,"nm12692014,nm13150692,nm0790072",,
Anatomía de un escándalo,tt12748084,"nm1092227,nm1670029,nm1890784",,nm3521294
Creep,tt2428170,"nm0243233,nm2674307,nm1051221",nm2674307,nm2674307
Simón,tt0081930,"nm0662321,nm0574468,nm0142571",,nm0214880
Un hijo tuyo,tt0082967,"nm0261681,nm0013615,nm0157242",nm0654839,nm0654839
El poder del perro,tt10293406,"nm1212722,nm0501501,nm0687146",nm0001005,nm0001005
"CHiPs, loca patrulla motorizada",tt0493405,"nm0671567,nm1009277,nm0000352",nm1009277,nm0743121
Love is blind: Brasil,tt11704040,"nm0005114,nm0591373,nm14629520",,nm8649527
Tengo ganas de ti,tt1797504,"nm1832584,nm1242939,nm1482999",nm2692858,nm0595062
Underworld: El despertar,tt1496025,"nm0000295,nm0001653,nm1013003",nm0617523,nm0936482
No respires 2,tt6246322,"nm0002332,nm6388677,nm0786639",nm2140186,nm1793079
El regreso de la momia,tt0209163,"nm0000409,nm0001838,nm0001314",nm0814085,nm0814085
Cargo,tt3860916,"nm9352908,nm0293509,nm9366122",nm3262170,nm3447602
Rebel Moon - Parte 1: La niña del fuego,tt14998742,"nm1154749,nm0005023,nm4534098",nm0811583,nm0811583
En la mente de un perro,tt32907397,"nm16485047,nm16485049,nm16485050",nm2214369,
Blancanieves y la leyenda del cazador,tt1735898,"nm0829576,nm1165110,nm0000234",nm2782185,nm2489193
El silencio de la ciudad blanca,tt8393332,"nm0749104,nm2626646,nm3467663",nm0130714,nm4512533
Dilan 1983,tt31070645,"nm9084904,nm9317294,nm1288928",nm9003875,nm9003875
La princesa Cisne,tt0111333,"nm0001588,nm0569294,nm0629264",nm0723704,nm0723704
Tore,tt24132876,"nm5286019,nm4828627,nm5899797",,nm5286019
Jujutsu Kaisen 0,tt14331144,"nm0644527,nm2573928,nm1697606",nm4810022,nm12013605
Perdida,tt9068514,"nm0173062,nm5653665,nm0274277",nm1664036,nm6918567
McGregor Forever,tt27599123,"nm6135552,nm9197771,nm6135553",,
Grace y Frankie,tt3609352,"nm0000404,nm0005499,nm0001832",,nm0442035
Un viaje al infinito,tt11574386,,nm4900586,nm4900586
Storks,tt4624424,"nm1676221,nm1764070,nm0001288",nm0831557,nm0831557
Hora punta,tt0120812,"nm0504962,nm0000329,nm0929489",nm0711840,nm0482780
WWE NXT,tt1601141,"nm0559983,nm2459990,nm3784696",,nm4953168
"Mejor Navidad, ¡imposible!",tt7038762,"nm0001287,nm0005275,nm0004755",nm0005116,nm9077672
Inuyasha,tt0290223,"nm0945322,nm0185214,nm4439760",,nm0847186
Kimi ni Todoke,tt1745240,"nm1145982,nm7577807,nm0620657",,nm1257421
Indian,tt0412080,"nm0000164,nm0713747,nm1705720",nm0002044,nm0002044
Yo nunca,tt10062292,"nm10826558,nm1567198,nm6651162",,nm3265847
Monster High 2,tt23026954,"nm13026621,nm7920130,nm3185023",nm0390844,nm1103326
Secretos del deporte: El ladrón de señales,tt33038082,"nm1822380,nm11591403,nm1714289",nm6955043,
Los Indestructibles 3,tt2333784,"nm0000230,nm0005458,nm0000148",nm0400850,nm0000230
Malta,tt24128644,"nm3875562,nm1537033,nm14316755",nm3680035,nm3680035
Chosen,tt5622316,"nm3355902,nm6051304,nm0745751",,nm0420817
Medio tiempo con Beyoncé,tt35144655,"nm0461498,nm6223040,nm7970428",nm1541136,
Tom y Jerry,tt1361336,"nm1631269,nm0671567,nm12312521",nm1103162,nm0360253
Dinosaurios despistados,tt20917538,"nm16001530,nm7832254,nm2354923",,nm4629425
La saga Crepúsculo: Amanecer - Parte 2,tt1673434,"nm0829576,nm1500155,nm1210124",nm0174374,nm2769412
Suburra,tt4025514,"nm0269419,nm0314554,nm0024580",nm1356588,nm1145142
A ciegas,tt29471733,"nm7592760,nm2842005,nm8930223",nm2752786,nm4489192
Vacaciones de verano,tt26756609,"nm0782213,nm3335067,nm10840211",nm0782213,nm2125297
Sangre de Zeus,tt10009170,"nm2208749,nm3725055,nm1340118",,nm0663048
Niño rico,tt0110989,"nm0000346,nm0488662,nm0001346",nm0677953,nm0866063
Nuovo Olimpo,tt18394610,"nm1110629,nm14261272,nm3842427",nm0654858,nm0739744
Las brujas de Zugarramurdi,tt2404738,"nm1281229,nm1832584,nm0631326",nm0407067,nm0346277
Las escalofriantes aventuras de Sabrina,tt7569592,"nm2215143,nm3515425,nm0205063",,nm2630745
Los Minions y sus amigos: Volumen 1,tt22184976,"nm1853544,nm1388927,nm0000362",nm1853544,nm1853544
La vita che volevi,tt28019927,"nm15338167,nm15338166,nm2681303",,nm15924294
Prohibido enamorarse,tt0055332,"nm0305511,nm0304844,nm0892385",nm0631370,nm0509887
Parchís: El Documental,tt10511826,"nm1922412,nm10842432,nm0649875",nm4198623,nm4198623
Los mejores parrilleros y expertos en barbacoas compiten para convertirse en el próximo Campeón de la Barbacoa en este concurso de cocina tan feroz como amistoso.,tt12938472,"nm4364576,nm3417248,nm8169958",,
Superdetective en Hollywood III,tt0109254,"nm0000552,nm0855103,nm0871456",nm0000484,nm0045301
Ellas mandan,tt6107548,"nm0000668,nm1411676,nm0001475",nm0304091,nm1411676
Scooby-Doo 2: Desatado,tt0331632,"nm0005327,nm0001264,nm0000498",nm0331532,nm0360253
Atracción fatal,tt0093010,"nm0000140,nm0000335,nm0000271",nm0001490,nm0213139
Annabelle: Creation,tt5140878,"nm0001439,nm5343317,nm0001584",nm2497546,nm2477891
Stockholm,tt6474040,"nm0000160,nm0636426,nm0835016",nm1519253,nm1519253
La orden,tt0098844,"nm0001832,nm0580924,nm0001583",,nm0937725
H2O,tt0491603,"nm2100998,nm2100081,nm1146783",,nm0793291
Un marinero en la guerra,tt26743607,"nm1914298,nm3462742,nm0427379",,nm0897243
División Palermo,tt26451138,"nm5613719,nm5212342,nm15938388",,nm11118550
Love is Blind: México,tt31408298,"nm0415811,nm14939242,nm4789084",,
Vicky Vidya ka Woh Wala Video,tt29330913,"nm3822770,nm9263896,nm0704694",nm7447165,nm3217969
Dos rubias de pelo en pecho,tt0381707,"nm0915465,nm0005541,nm0454809",nm0005540,nm0005540
Médico de familia,tt0115284,"nm0032795,nm0097773,nm0554700",,nm1628238
La ciudad secreta,tt4976512,"nm1396022,nm0334198,nm0808865",,nm9653716
Hibana: Spark,tt5301958,"nm2402220,nm1845696,nm8193010",,nm13626585
¡Shazam!,tt0448115,"nm1157048,nm0835016,nm4755508",nm2497546,nm2849655
"Mighty Morphin Power Rangers: Ayer, hoy y siempre",tt23219684,"nm0429432,nm0136399,nm0840059",nm0368124,nm3998014
Flukt: En los tiempos de la peste,tt2076850,"nm4716115,nm2070336,nm4715868",nm1012385,nm1856961
Rhythm + Flow: Brasil,tt31974344,"nm2100697,nm15994612,nm10997500",,
Nuestros amantes,tt4631532,"nm0635330,nm1043338,nm0555093",nm1532195,nm1532195
Ro & the Stardust,tt15736800,"nm9052488,nm6842015,nm0634393",nm3535075,nm3535075
Nuestros océanos,tt23181400,"nm1682433,nm1505096",,
Políticamente incorrectos,tt28272350,"nm2028131,nm9603583,nm0207891",nm0248401,nm3374735
Alerta roja,tt7991608,"nm0425005,nm0005351,nm2933757",nm1098493,nm1098493
Los Murdaugh: Muerte y escándalo en Carolina del Sur,tt26340238,"nm14588310,nm14588307,nm13860107",,nm6575811
El viento se levanta,tt2013293,"nm0030417,nm0632689,nm3768523",nm0594503,nm0594503
"Daniel, el travieso",tt0106701,"nm0000527,nm0001253,nm0687506",nm0145309,nm0450477
Sagrada familia,tt15576994,"nm0632385,nm1699346,nm1073929",,nm1919456
Bandida: La número uno,tt32276312,"nm10824632,nm3804032,nm4289532",nm5892372,nm5065894
El lugar de la otra,tt31796256,"nm3016484,nm1416172,nm1855459",nm3073146,nm1972905
Centauro,tt13479592,"nm3856284,nm9603580,nm10257702",nm0130714,nm1910842
El sabor de las margaritas,tt8332798,"nm1086543,nm0991979,nm2913280",,nm17114287
Rojo Carmesí,tt31963793,"nm3757581,nm1096399,nm15989864",,nm1349953
El asesino improbable,tt13735930,"nm0349052,nm2514156,nm11649039",,nm0067104
La bala perdida 2,tt14465706,"nm1839955,nm3691738,nm1190020",nm4962035,nm4962035
Misterios sin resolver,tt9642938,"nm6145179,nm11706487,nm11710523",,nm14125886
"Scooby-Doo! Misterios, S. A.",tt0063950,"nm0440487,nm0582106,nm0827267",,nm0798908
Jake Paul vs. Mike Tyson,tt34614050,"nm16731475,nm9736407,nm16731478",,
Hasta el cielo,tt10978398,"nm5969653,nm3660766,nm2399032",nm0130714,nm0346277
Maniac,tt5580146,"nm1297015,nm1706767,nm4420495",,nm1226821
Khel Khel Mein,tt27056012,"nm0474774,nm7447035,nm3966456",nm2414127,nm2414127
Papás a la antigua,tt18394190,"nm0122987,nm0134072,nm0940158",nm0122987,nm0122987
No voy a pedirle a nadie que me crea,tt21738294,"nm1298582,nm1375877,nm3359494",nm3305020,nm3305020
Ronny Chieng: Love to Hate It,tt34344071,nm5307044,nm0055858,nm5307044
Chef's Table: Fideos,tt33323674,"nm0314754,nm4611866,nm16577842",,
Master of None,tt4635276,"nm2106637,nm1728099,nm2913119",,nm2106637
Ballers,tt2891574,"nm0425005,nm0913475,nm6041749",,nm0506100
Antares de la Luz: La secta del fin del mundo,tt32055642,"nm6931049,nm6389297,nm5135122",nm12192895,nm5122047
The A List,tt9185110,"nm3989486,nm9832144,nm9892194",,nm3752043
"10,000 A.C.",tt0443649,"nm1711829,nm0004741,nm0193295",nm0000386,nm0000386
Aadujeevitham: La vida de las cabras,tt5525650,"nm1335387,nm1097515,nm15975295",nm1720336,nm7976141
Bienvenidos al Norte,tt1064932,"nm0580101,nm0200702,nm0299663",nm0200702,nm0200702
El libro de Eli,tt1037705,"nm0000243,nm0000198,nm0005109",nm0400436,nm1729428
Will y Harper,tt30321133,"nm0002071,nm0824482,nm0275486",nm2307949,
Invisible,tt26658061,"nm14539627,nm14539628,nm13946838",,nm1628249
En las profundidades del Sena,tt13964390,"nm0067367,nm4051466,nm6434640",nm1164755,nm2278184
El rey de los coleccionistas: Goldin Auctions,tt27206011,"nm14805204,nm2601168,nm14838027",,
NASCAR: A toda velocidad,tt28712944,"nm3666120,nm5404111,nm2788681",,
La banda del guante verde,tt19723774,"nm0476448,nm0693145,nm0739075",,nm14066892
Dilema,tt2072940,"nm4699670,nm2693765,nm2523085",nm2346280,nm2346280
Chico come universo,tt10399902,"nm0048932,nm0000986,nm2100081",,nm0171722
Maestro,tt5535276,"nm1659547,nm0177896,nm0093589",nm0177896,nm0177896
Romance a lo k-drama,tt28628302,"nm1523195,nm2821134,nm3859087",,nm1151238
El astronauta,tt0065432,"nm0495764,nm0007023,nm0134354",nm0013706,nm0557980
Selling the OC,tt15907000,"nm2742976,nm7841609,nm6515894",,nm0228627
Las nadadoras,tt8745676,"nm1846124,nm0777788,nm5972255",nm2260751,nm2260751
La fábrica de Kota,tt9432978,"nm7802961,nm6845062,nm6845060",,nm5939581
Olivia Rodrigo: GUTS World Tour,tt34874914,"nm2957717,nm3880241,nm10443481",,
Baby,tt3890160,"nm5052065,nm1256532,nm0358316",nm0942367,nm0942367
¿Sabes quién es?,tt9170236,"nm0001057,nm2757333,nm1875238",,nm4901740
Star Trek: Voyager,tt0112178,"nm0000550,nm0000296,nm0206259",,nm0075834
La cocinera de Castamar,tt12626014,"nm1043338,nm0258090,nm1281229",,nm1269608
Mi daimon,tt28612257,"nm10098056,nm2536453,nm2583829",,nm9400000
Star Trek: Más allá,tt2660888,"nm1517976,nm0704270,nm0881631",nm0510912,nm0670408
Eclipse,tt1325004,"nm1882152,nm0829576,nm1500155",nm1720541,nm0742279
Califato,tt11398870,"nm6760258,nm11205525,nm1760389",,nm0067104
Mea culpa,tt26861992,"nm0746714,nm5218990,nm2964642",nm1347153,nm1347153
El campeón,tt24079806,"nm3657043,nm13987219,nm1687275",nm1724912,nm0649875
Gemelas,tt14127740,"nm0618416,nm4109938,nm3972988",,nm2121639
No negociable,tt31227221,"nm0643706,nm4354825,nm0537642",nm0850307,nm3299975
Este mundo no me hará mala persona,tt27440006,"nm8570840,nm0557609,nm4735423",,nm8570840
Misión imposible: Protocolo fantasma,tt1229238,"nm0000129,nm1745736,nm0670408",nm0083348,nm0312367
Castaway Diva,tt28348835,"nm3738785,nm6595080,nm8358247",,nm3015442
Cómo la cocina afroamericana transformó Estados Unidos,tt14540468,"nm12525258,nm8645430,nm12655487",,nm1583072
(P)Ícaro: El pequeño Nicolás,tt31183676,,,nm14626757
RuPaul: Reinas del Drag: All Stars,tt1353056,"nm0750412,nm0899513,nm1481801",,nm0750412
Wendell y Wild,tt5181830,"nm7132577,nm1221047,nm1443502",nm0783139,nm0783139
Baby Bandito,tt27997713,"nm13950247,nm13726915,nm0531364",,nm6580810
The Roast of Tom Brady,tt32244679,"nm1530018,nm0366389,nm0743501",nm0565063,nm1395537
Misiones cruzadas,tt30515931,"nm1058565,nm0947514,nm2246822",nm15624259,nm15624259
El mensajero,tt0119925,"nm0000126,nm0001599,nm0005478",nm0000126,nm0109432
Dos polis en apuros,tt1845307,"nm0993507,nm3396631,nm0606541",,nm1579753
Está bien no estar bien,tt12451520,"nm4633543,nm6134380,nm2442113",,nm9449670
Niebla sin fronteras,tt27004149,"nm9363168,nm2737594,nm1059365",nm1637767,nm1637767
Hermanísimas,tt1850457,"nm0688132,nm0275486,nm0748973",nm0601337,nm0996134
El mal ajeno,tt1043800,"nm0635330,nm0749104,nm0148382",nm1245735,nm0998110
Jonah Hex,tt1075747,"nm0000982,nm0000518,nm1083271",nm0371755,nm0004410
Dueños de Manhattan,tt32460481,"nm2743406,nm6059230,nm11890883",,
Sin edulcorar,tt14914430,"nm14678132,nm0000632,nm4507632",nm0000632,nm0000632
Las variaciones Grimm,tt14872196,"nm6657487,nm11111075,nm5410860",,nm5620309
Luis Miguel: La Serie,tt8045690,"nm1546300,nm1761358,nm1320600",,nm2110261
America's Sweethearts: Las cheerleaders de los Dallas Cowboys,tt32146518,"nm0277756,nm0870790,nm16260785",,nm7986515
Ajuste de cuentas,tt0396436,"nm0073221,nm0830153,nm0305710",nm0073221,nm0194615
No estás sola: La lucha contra La Manada,tt31410930,"nm5131296,nm3660766,nm2995197",nm1147094,nm2757258
Okja,tt3967856,"nm0842770,nm0200452,nm3673821",nm0094435,nm0094435
Corrupción en Bangkok: Entre el cielo y el infierno,tt31158592,"nm5044433,nm0475056,nm13850298",nm15661062,nm15661062
42 días en la oscuridad,tt15090462,"nm0223895,nm0531364,nm0017207",,nm8839426
El diario de Noel,tt1650043,"nm2325393,nm1256602,nm0006713",nm0101047,nm0007091
Igor Grom contra el Doctor Peste,tt7601480,"nm3500725,nm4705505,nm11036353",nm8251673,nm7896840
Trabajar: Eso que hacemos todo el día,tt27619797,"nm1682433,nm14911961,nm14972905",,
La vida mentirosa de los adultos,tt0405094,"nm0311476,nm0618057,nm0462407",nm0003697,nm0003697
Respuestas,tt19723614,"nm1458971,nm9486909,nm0066111",,nm6222970
Karate Kid III. El desafío final,tt0097647,"nm0001494,nm0001552,nm0001477",nm0000814,nm0436543
Jesus Revolution,tt10098448,"nm1525807,nm0745751,nm0931090",nm2296528,nm3310472
Una sombra en mi ojo,tt9170516,"nm10705143,nm11277598,nm10692514",nm0097079,nm0097079
Ore Monogatari!!,tt4616700,"nm3414040,nm4751364,nm4858403",,nm7324100
Los abrazos rotos,tt0913425,"nm0004851,nm0392913,nm0692391",nm0000264,nm0000264
Anarchy: La noche de las bestias,tt2975578,"nm0342029,nm0252238,nm1472917",nm0218621,nm0218621
Wyatt Earp y la guerra de los cowboys,tt33038128,"nm0000438,nm3158242,nm5628703",,nm0266104
La apariencia de las cosas,tt10962368,"nm3584268,nm6877106,nm1086543",nm0075849,nm10989837
La ira de Dios,tt15189534,"nm0673391,nm1375877,nm5238331",nm0994416,nm1545566
Nadie sabe que estoy aquí,tt10728764,"nm0306201,nm10197168,nm9772827",nm7050504,nm7050504
La saga Crepúsculo: Amanecer - Parte 1,tt1324999,"nm1210124,nm0083655,nm0121605",nm0174374,nm0742279
Caminando entre las tumbas,tt0365907,"nm0000553,nm0173997,nm0567370",nm0291082,nm0088747
The Ultimatum: France,tt23905576,nm0454221,,
Desmadre de padre,tt1232200,"nm0001191,nm1676221,nm1015262",nm1890845,nm2791292
Cómo vender drogas online (a toda pastilla),tt9184994,"nm5823191,nm6781912,nm3609745",,nm3274858
Sacrificio de leyenda,tt1620935,"nm1886602,nm0001173,nm0005408",nm0950226,nm0950226
Malevil,tt0082701,"nm0785664,nm0244850,nm0898317",nm0150057,nm0241506
El teléfono,tt7144666,"nm9296746,nm6421259,nm0000160",nm0220600,nm0454872
Herida,tt0104237,"nm0000460,nm0000300,nm0001669",nm0001501,nm0002376
Un crimen perfecto,tt0120787,"nm0000140,nm0000569,nm0001557",nm0001112,nm0461425
Geek Girl,tt26426076,"nm6917958,nm5928359,nm12487774",,nm9158462
Halston,tt9569546,"nm0000191,nm3266168,nm0686042",,nm0107302
Desapariciones ¿Vivos O Muertos?,tt27612322,"nm14844562,nm14844564,nm14879561",,
Los pingüinos de Madagascar,tt1911658,"nm0569891,nm1844237,nm0971017",nm0201509,nm1685000
Contención,tt13986670,nm11185740,nm11185740,nm11185740
Cold november,tt7637874,"nm3580340,nm4728959,nm0352967",nm3388041,nm6896155
Quédate cerca,tt2201227,"nm2685264,nm0626362,nm0035514",,nm1454192
La reina de la montaña: Lhakpa Sherpa y la cumbre del Everest,tt28448182,"nm9545962,nm15175339,nm15175338",nm1013671,
Garra,tt8009428,"nm0001191,nm0001451,nm12373736",nm1476102,nm3537559
El estornino,tt5164438,"nm0565250,nm1483369,nm0000177",nm0577647,nm1358798
Fatma,tt11961378,"nm5545310,nm0951309,nm6131602",,nm4831434
Presidente por accidente,tt0095654,"nm0000377,nm0000471,nm0000968",nm0005196,nm0095660
